Tuition fees up to date,Debtor,Scholarship holder,financial_distress_score,financial_high_risk,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (evaluations),Curricular units 1st sem (grade),approval_rate,eval_intensity,zero_approved_flag,zero_eval_flag,Gender,Age at enrollment,age_bin,marital_grouped,Daytime/evening attendance,app_mode_target_enc,course_target_enc,prev_qual_ordinal,app_order_clipped,mother_qual_tier,father_qual_tier,mother_occ_tier,father_occ_tier,ses_composite,gender_x_agebin,financial_x_zero_approved,tuition_overdue_x_zero_approved
1,0,0,1,0,0,0,0,0.0,0.0,0.0,1,1,1,20,0,1,1,0.2802021129995407,0.4606741573033708,0,5,1,1,1,1,1.0,0,1,0
0,0,0,2,0,6,0,0,0.0,0.0,0.0,1,1,1,19,0,1,1,0.2802021129995407,0.2786885245901639,0,5,1,1,1,1,1.0,0,2,1
1,0,0,1,0,6,6,8,13.428571428571429,1.0,1.3333333333333333,0,0,0,20,0,1,1,0.2802021129995407,0.3400673400673401,0,2,1,1,1,2,1.25,0,0,0
1,0,0,1,0,6,5,9,12.333333333333334,0.8333333333333334,1.5,0,0,0,45,4,2,0,0.55625,0.36597938144329895,0,1,1,1,1,1,1.0,0,0,0
1,1,0,2,0,5,5,10,11.857142857142858,1.0,2.0,0,0,1,50,4,2,0,0.55625,0.6355140186915887,1,1,1,1,1,1,1.0,4,0,0
1,0,1,0,0,7,7,9,13.3,1.0,1.2857142857142858,0,0,0,18,0,1,1,0.2802021129995407,0.17717717717717718,0,1,1,1,1,0,0.75,0,0,0
0,0,0,2,0,5,0,5,0.0,0.0,1.0,1,0,1,22,1,1,1,0.55625,0.45714285714285713,0,4,1,1,1,1,1.0,1,2,1
1,0,1,0,0,6,6,8,13.875,1.0,1.3333333333333333,0,0,0,21,1,1,1,0.2802021129995407,0.20967741935483872,0,3,3,3,1,1,2.0,0,0,0
0,1,0,3,1,6,5,9,11.4,0.8333333333333334,1.5,0,0,0,18,0,1,1,0.2802021129995407,0.20967741935483872,0,1,3,2,2,1,2.0,0,0,0
1,0,0,1,0,6,6,6,12.333333333333334,1.0,1.0,0,0,0,18,0,1,1,0.2802021129995407,0.4337899543378995,0,1,1,2,1,1,1.25,0,0,0
1,0,1,0,0,8,7,8,13.214285714285714,0.875,1.0,0,0,0,18,0,1,1,0.2802021129995407,0.17717717717717718,0,1,1,1,1,1,1.0,0,0,0
1,0,0,1,0,6,0,6,0.0,0.0,1.0,1,0,0,19,0,1,1,0.2802021129995407,0.5985915492957746,0,2,1,1,2,1,1.25,0,1,0
1,0,1,0,0,6,6,7,10.571428571428571,1.0,1.1666666666666667,0,0,0,21,1,1,1,0.2802021129995407,0.45714285714285713,1,1,3,3,2,1,2.25,0,0,0
1,0,1,0,0,5,4,7,13.25,0.8,1.4,0,0,0,18,0,1,1,0.2802021129995407,0.3423076923076923,0,1,1,1,1,1,1.0,0,0,0
1,0,0,1,0,6,5,6,13.2,0.8333333333333334,1.0,0,0,0,20,0,1,1,0.2802021129995407,0.3400673400673401,0,1,1,1,1,2,1.25,0,0,0
1,0,0,1,0,7,7,8,13.30625,1.0,1.1428571428571428,0,0,0,18,0,1,1,0.2802021129995407,0.17717717717717718,0,2,1,3,1,2,1.75,0,0,0
1,0,0,1,0,5,4,8,12.5,0.8,1.6,0,0,0,20,0,1,1,0.2802021129995407,0.65,0,1,4,2,2,1,2.25,0,0,0
1,0,1,0,0,0,0,0,0.0,0.0,0.0,1,1,0,21,1,1,1,0.2802021129995407,0.4606741573033708,0,3,3,3,1,1,2.0,0,0,0
1,0,0,1,0,8,7,12,12.857142857142858,0.875,1.5,0,0,0,18,0,1,1,0.2802021129995407,0.17717717717717718,0,4,1,2,1,1,1.25,0,0,0
1,0,1,0,0,6,6,8,13.375,1.0,1.3333333333333333,0,0,0,19,0,1,1,0.2802021129995407,0.4337899543378995,0,4,3,1,2,1,1.75,0,0,0
1,0,0,1,0,7,6,8,13.296666666666669,0.8571428571428571,1.1428571428571428,0,0,0,19,0,1,1,0.2802021129995407,0.17717717717717718,0,1,1,2,2,1,1.5,0,0,0
1,0,0,1,0,6,6,9,11.375,1.0,1.5,0,0,0,21,1,1,1,0.2802021129995407,0.20967741935483872,0,2,1,1,1,1,1.0,0,0,0
1,0,0,1,0,5,5,6,12.0,1.0,1.2,0,0,0,20,0,1,1,0.2802021129995407,0.4944649446494465,0,1,1,3,1,1,1.5,0,0,0
1,0,0,1,0,6,6,7,12.833333333333334,1.0,1.1666666666666667,0,0,1,20,0,1,1,0.55625,0.2786885245901639,0,1,1,4,0,2,1.75,0,0,0
1,0,0,1,0,6,6,6,12.666666666666666,1.0,1.0,0,0,0,19,0,1,0,0.55625,0.36597938144329895,0,1,1,3,1,1,1.5,0,0,0
1,0,0,1,0,5,5,6,12.4,1.0,1.2,0,0,1,34,3,1,0,0.2802021129995407,0.6355140186915887,0,1,4,1,2,1,2.0,3,0,0
0,1,0,3,1,7,0,7,0.0,0.0,1.0,1,0,1,37,4,1,1,0.55625,0.8888888888888888,0,1,1,1,1,2,1.25,4,3,1
1,0,0,1,0,5,0,0,0.0,0.0,0.0,1,1,1,43,4,1,1,0.55625,0.8653846153846154,2,1,3,1,0,0,1.0,4,1,0
1,0,0,1,0,5,1,10,10.0,0.2,2.0,0,0,0,55,4,1,1,0.55625,0.4944649446494465,0,1,1,1,2,2,1.5,0,0,0
1,0,0,1,0,5,5,8,11.0,1.0,1.6,0,0,0,39,4,3,0,0.55625,0.6355140186915887,0,1,1,2,1,2,1.5,0,0,0
0,1,0,3,1,6,3,13,11.666666666666666,0.5,2.1666666666666665,0,0,0,20,0,1,1,0.55625,0.65,1,1,4,4,2,2,3.0,0,0,0
1,1,0,2,0,6,4,6,12.75,0.6666666666666666,1.0,0,0,0,18,0,1,1,0.2802021129995407,0.3400673400673401,0,5,4,4,1,1,2.5,0,0,0
1,0,0,1,0,5,5,5,14.8,1.0,1.0,0,0,0,22,1,1,1,0.2802021129995407,0.4944649446494465,0,2,4,2,1,1,2.0,0,0,0
1,0,0,1,0,7,5,9,13.928,0.7142857142857143,1.2857142857142858,0,0,0,22,1,1,1,0.2802021129995407,0.17717717717717718,0,5,3,4,1,1,2.25,0,0,0
0,0,0,2,0,6,4,7,13.0,0.6666666666666666,1.1666666666666667,0,0,0,20,0,1,1,0.2802021129995407,0.3400673400673401,0,1,3,1,1,1,1.5,0,0,0
1,0,0,1,0,5,0,0,0.0,0.0,0.0,1,1,0,29,3,1,0,0.55625,0.6355140186915887,0,1,1,1,1,1,1.0,0,1,0
1,0,0,1,0,6,6,6,11.666666666666666,1.0,1.0,0,0,0,18,0,1,1,0.2802021129995407,0.20967741935483872,0,2,1,2,1,1,1.25,0,0,0
1,0,1,0,0,7,6,8,13.516666666666666,0.8571428571428571,1.1428571428571428,0,0,0,22,1,1,1,0.2802021129995407,0.17717717717717718,0,5,1,2,1,1,1.25,0,0,0
1,0,1,0,0,6,6,6,11.5,1.0,1.0,0,0,0,21,1,1,0,0.55625,0.36597938144329895,1,1,3,2,1,1,1.75,0,0,0
1,0,1,0,0,6,5,7,12.333333333333334,0.8333333333333334,1.1666666666666667,0,0,0,19,0,1,1,0.2802021129995407,0.20967741935483872,0,1,1,1,1,1,1.0,0,0,0
1,0,1,0,0,6,6,6,13.666666666666666,1.0,1.0,0,0,0,24,2,1,1,0.55625,0.45714285714285713,0,1,1,1,1,1,1.0,0,0,0
1,0,0,1,0,5,5,7,14.714285714285714,1.0,1.4,0,0,0,19,0,1,1,0.2802021129995407,0.65,0,3,1,1,0,0,0.5,0,0,0
1,0,0,1,0,5,5,12,10.6,1.0,2.4,0,0,0,27,2,1,0,0.55625,0.6355140186915887,0,1,1,1,1,1,1.0,0,0,0
1,0,0,1,0,7,7,9,13.044444444444444,1.0,1.2857142857142858,0,0,0,18,0,1,1,0.2802021129995407,0.17717717717717718,0,1,3,2,1,1,1.75,0,0,0
1,0,0,1,0,6,0,10,0.0,0.0,1.6666666666666667,1,0,0,39,4,2,1,0.6412213740458015,0.45714285714285713,2,1,3,4,2,2,2.75,0,1,0
1,0,0,1,0,6,5,9,13.0,0.8333333333333334,1.5,0,0,0,27,2,1,1,0.55625,0.65,1,1,4,4,1,1,2.5,0,0,0
1,0,0,1,0,8,8,8,14.935,1.0,1.0,0,0,0,18,0,1,1,0.2802021129995407,0.17717717717717718,0,1,1,1,1,0,0.75,0,0,0
1,0,0,1,0,7,6,8,13.133333333333333,0.8571428571428571,1.1428571428571428,0,0,0,18,0,1,1,0.2802021129995407,0.17717717717717718,0,2,1,2,1,1,1.25,0,0,0
1,0,1,0,0,6,6,7,12.0,1.0,1.1666666666666667,0,0,0,21,1,1,1,0.55625,0.20967741935483872,1,1,1,3,1,1,1.5,0,0,0
1,0,0,1,0,7,5,10,11.9,0.7142857142857143,1.4285714285714286,0,0,1,29,3,3,1,0.55625,0.17717717717717718,1,1,3,3,1,1,2.0,3,0,0
1,0,1,0,0,0,0,0,0.0,0.0,0.0,1,1,1,19,0,1,1,0.2802021129995407,0.4606741573033708,0,3,1,2,1,2,1.5,0,0,0
1,0,0,1,0,6,6,8,12.571428571428571,1.0,1.3333333333333333,0,0,1,23,1,1,1,0.55625,0.4941860465116279,1,1,1,1,1,1,1.0,1,0,0
1,1,0,2,0,5,5,8,11.2,1.0,1.6,0,0,1,19,0,1,1,0.2802021129995407,0.4944649446494465,0,3,3,1,1,1,1.5,0,0,0
1,0,0,1,0,7,7,8,11.975,1.0,1.1428571428571428,0,0,1,24,2,1,1,0.2802021129995407,0.17717717717717718,0,1,1,2,1,2,1.5,2,0,0
1,0,0,1,0,0,0,0,0.0,0.0,0.0,1,1,1,19,0,1,1,0.2802021129995407,0.4606741573033708,0,1,1,2,1,0,1.0,0,1,0
1,0,0,1,0,6,3,12,11.666666666666666,0.5,2.0,0,0,1,18,0,1,1,0.2802021129995407,0.45714285714285713,0,4,1,1,1,1,1.0,0,0,0
