rank,Gender,Age at enrollment,Course,Application mode,Daytime/evening attendance,Tuition fees up to date,Debtor,Scholarship holder,Curricular units 1st sem (approved),Curricular units 1st sem (grade),dropout_probability,risk_tier
1,1,27,7,14,1,0,1,0,0,0.0,0.9984567304032319,High Risk
2,1,25,6,12,1,0,1,0,0,0.0,0.9971228460395974,High Risk
3,1,18,7,8,1,0,1,0,0,0.0,0.9967408428415697,High Risk
4,1,26,4,15,1,1,1,0,0,0.0,0.9963013477629705,High Risk
5,1,27,4,12,1,1,0,0,0,0.0,0.9961914731419547,High Risk
6,1,29,17,12,0,1,0,0,0,0.0,0.995455286917782,High Risk
7,1,18,7,8,1,0,1,0,3,12.0,0.9952894393589894,High Risk
8,1,24,7,12,1,1,1,0,1,10.0,0.9936525411483629,High Risk
9,1,24,5,14,1,1,0,0,0,0.0,0.9934582267649447,High Risk
10,0,30,4,12,1,1,1,1,0,0.0,0.9933488700035994,High Risk
11,0,20,8,15,1,0,1,0,3,12.0,0.9932841501069218,High Risk
12,0,19,7,6,1,1,1,0,2,13.5,0.9932310479704165,High Risk
13,1,18,7,14,1,1,1,0,2,10.0,0.9931346408873767,High Risk
14,1,23,4,15,1,1,0,0,0,0.0,0.9929807142822502,High Risk
15,1,20,7,1,1,1,1,0,0,0.0,0.9929394892357377,High Risk
16,0,34,17,12,0,1,0,0,0,0.0,0.9928582521655468,High Risk
17,0,28,6,12,1,1,1,0,0,0.0,0.9925360402689088,High Risk
18,1,18,7,1,1,1,0,0,0,0.0,0.9922012847892034,High Risk
19,1,38,17,12,0,1,0,0,2,10.5,0.9921965332192118,High Risk
20,0,47,4,12,1,1,1,0,0,0.0,0.9921319679643372,High Risk
21,1,34,7,12,1,1,0,0,0,0.0,0.9913688999817377,High Risk
22,1,24,7,12,1,1,0,0,1,12.0,0.9908776447370334,High Risk
23,1,32,9,16,1,1,1,0,3,12.0,0.9907020131677664,High Risk
24,1,19,7,16,1,1,0,0,0,0.0,0.9903170362199583,High Risk
25,1,19,2,1,1,1,0,0,5,11.0,0.9899742673470204,High Risk
26,1,22,9,14,1,1,0,0,0,0.0,0.9898835780520464,High Risk
